Date,Open,High,Low,Close,Volume,Adj Close
17/09/2004,3627.3,3636.4,3624.6,3631.6,0,3631.6
16/09/2004,3620.9,3629,3602.5,3624.9,0,3624.9
15/09/2004,3625.3,3631.5,3616.6,3625.1,0,3625.1
14/09/2004,3612.7,3625.5,3612.6,3623.2,0,3623.2
13/09/2004,3594.8,3615.1,3594.6,3609.7,0,3609.7
10/09/2004,3592.7,3608.2,3591.5,3596,0,3596
9/09/2004,3589.8,3602,3587.4,3591.7,0,3591.7
8/09/2004,3588,3597.6,3582.5,3589,0,3589
7/09/2004,3578.4,3592.4,3578.1,3589.4,0,3589.4
6/09/2004,3578.2,3582.1,3574.2,3576.9,0,3576.9
3/09/2004,3592.4,3595,3576,3577.3,0,3577.3
2/09/2004,3577.9,3593.6,3577.7,3590.4,0,3590.4
1/09/2004,3554,3585.5,3554,3575.6,0,3575.6
31/08/2004,3555,3562.1,3552.7,3552.7,0,3552.7
30/08/2004,3558.1,3568.7,3551.9,3554.1,0,3554.1
27/08/2004,3529.1,3565.3,3529.1,3558.9,0,3558.9
26/08/2004,3517,3531.6,3516.5,3526,0,3526
25/08/2004,3525.7,3527.3,3511.2,3517.4,0,3517.4
24/08/2004,3525.1,3528.4,3518.3,3526.3,0,3526.3
23/08/2004,3501.6,3532.6,3501.6,3524,0,3524
20/08/2004,3490.9,3502.2,3487.8,3497.7,0,3497.7
